f,t,e
0.6,22.94962202982566,1.0993269737426676
0.602,22.796611840339743,1.0964664735789416
0.604,22.637108477795653,1.0935274428656914
0.606,22.477967853210963,1.090591348733317
0.608,22.321835397812922,1.0876908225604744
0.61,22.16470695327522,1.0847768175242
0.612,22.010126116674076,1.0818882930112954
0.614,21.857176033621794,1.079017715090713
0.616,21.69624261629378,1.076048361338389
0.618,21.5288506058794,1.0730000222667175
0.62,21.370314228234502,1.0700579436993722
0.622,21.216693988754372,1.067174795981832
0.624,21.052840154762244,1.0641708405370212
0.626,21.28958674798908,1.0666095917176825
0.628,21.20377741556621,1.0645917297232124
0.63,21.050225225361128,1.0617320038089848
0.632,20.900989080476897,1.058935828196964
0.634,20.737472340158376,1.0559797467617185
0.636,20.584871925472523,1.0531545708522252
0.638,20.41890246095091,1.0501812060328652
0.64,20.2629698022505,1.0473485511330147
0.642,20.117869040419727,1.0446637111347354
0.644,19.962775352073812,1.0418721171017704
0.646,19.813200922978297,1.0391678188661582
0.648,19.652709136914968,1.0363360446522027
0.65,19.494224096493458,1.0335492467881984
0.652,19.33885320547746,1.030813131025849
0.654,19.184993715112395,1.02810861549141
0.656,19.022566325661273,1.0253112126000241
0.658,18.877872023553877,1.0227412848346986
0.66,18.730036091019006,1.0201417450490093
0.662,18.578757186073112,1.01750833936211
0.664,18.430403111444253,1.014916831148297
0.666,18.277669747911787,1.0122729527223464
0.668,18.121380318237062,1.009595328438561
0.67,17.962768172149374,1.0068934596346877
0.672,17.800147432194457,1.0041468887846592
0.674,17.654202963953356,1.0016101322219082
0.676,17.50571218327596,0.9990451859481729
0.678,17.36324773285508,0.9965628977709977
0.68,17.22409830583752,0.9941369829553708
0.682,17.08588271854012,0.9917288598713034
0.684,16.951086081310205,0.9893792303767144
0.686,16.82028910864669,0.9871030574205456
0.688,16.691924220018727,0.984876012129039
0.69,16.562018219099222,0.9826495686961765
0.692,16.429671220744975,0.9804163406935503
0.694,16.29610860083711,0.9781864953377365
0.696,16.18020504717238,0.976208771424694
0.698,16.050377328471903,0.9740713188550156
0.7,15.929294417742538,0.9720761297254302
0.702,15.80114862456257,0.9700121815052173
0.704,15.680951271409505,0.9680768850683962
0.706,15.562395865285337,0.9661829385846168
0.708,15.445611277744328,0.9643354648837633
0.71,15.328028099998562,0.9625007335017112
0.712,15.205503801832716,0.9606193199833026
0.714,15.103054866800862,0.9590202023160825
0.716,14.99739313624131,0.9573976078092303
0.718,14.88998332386155,0.9557686307912393
0.72,14.799028936228433,0.9543742491984529
0.722,14.701949169929435,0.9529165439726528
0.724,14.605279198268665,0.951477364750353
0.726,14.510485023910332,0.9500780375494777
0.728,14.416635563993788,0.9487052822953455
0.73,14.330527679968208,0.9474470467642848
0.732,14.239326530895823,0.9461361151290538
0.734,14.157310904465247,0.9449619270184494
0.736,14.060100713045253,0.9436031442869866
0.738,13.984429869367595,0.9425327286115577
0.74,13.904731223393352,0.9414212726328387
0.742,13.826087310497845,0.9403391254521795
0.744,13.74023003562961,0.9391778280189567
0.746,13.658136784744686,0.9380771153117275
0.748,13.58518742925346,0.937106743337278
0.75,13.519353143907056,0.9362375620266534
0.752,13.450513356525368,0.9353351145365856
0.754,13.384911937897531,0.9344857321759846
0.756,13.325786331132756,0.933725235875036
0.758,13.25730976804182,0.9328560773200734
0.76,13.197514360081284,0.9321030390423134
0.762,13.146848945660052,0.9314731535056993
0.764,13.081902656959302,0.9306805192030628
0.766,13.021539279082244,0.9299634826014901
0.768,12.959389157499771,0.9292398253680234
0.77,12.898276643057034,0.9285430244626153
0.772,12.836055728630146,0.9278464062161244
0.774,12.777463381068424,0.9272032748536184
0.776,12.728571870622527,0.9266943448931974
