freq,t
1.238E9,9.615
1.240E9,9.625
1.242E9,9.635
1.244E9,9.644
1.246E9,9.654
1.248E9,9.663
1.250E9,9.672
1.252E9,9.682
1.254E9,9.692
1.256E9,9.702
1.258E9,9.712
1.260E9,9.721
1.262E9,9.731
1.264E9,9.741
1.266E9,9.751
1.268E9,9.761
1.270E9,9.771
1.272E9,9.781
1.274E9,9.791
1.276E9,9.801
1.278E9,9.811
1.280E9,9.821
1.282E9,9.831
1.284E9,9.841
1.286E9,9.852
1.288E9,9.862
1.290E9,9.872
1.292E9,9.882
1.294E9,9.892
1.296E9,9.902
1.298E9,9.912
1.300E9,9.923
1.302E9,9.933
1.304E9,9.943
1.306E9,9.953
1.308E9,9.963
1.310E9,9.974
1.312E9,9.985
1.314E9,9.994
1.316E9,10.004
1.318E9,10.014
1.320E9,10.024
1.322E9,10.035
1.324E9,10.045
1.326E9,10.055
1.328E9,10.065
1.330E9,10.075
1.332E9,10.085
1.334E9,10.095
1.336E9,10.106
1.338E9,10.116
1.340E9,10.126
1.342E9,10.135
1.344E9,10.145
1.346E9,10.155
1.348E9,10.165
1.350E9,10.175
1.352E9,10.185
1.354E9,10.195
1.356E9,10.204
1.358E9,10.214
1.360E9,10.223
1.362E9,10.233
1.364E9,10.243
1.366E9,10.253
1.368E9,10.262
1.370E9,10.271
1.372E9,10.281
1.374E9,10.290
1.376E9,10.300
1.378E9,10.309
1.380E9,10.318
1.382E9,10.327
1.384E9,10.336
1.386E9,10.345
1.388E9,10.354
1.390E9,10.363
1.392E9,10.372
1.394E9,10.381
1.396E9,10.389
1.398E9,10.398
1.400E9,10.407
1.402E9,10.416
1.404E9,10.424
1.406E9,10.432
1.408E9,10.441
1.410E9,10.449
1.412E9,10.458
1.414E9,10.466
1.416E9,10.474
1.418E9,10.481
1.420E9,10.489
1.422E9,10.498
1.424E9,10.506
1.426E9,10.513
1.428E9,10.520
1.430E9,10.528
1.432E9,10.535
1.434E9,10.543
1.436E9,10.552
1.438E9,10.558
1.440E9,10.564
1.442E9,10.571
1.444E9,10.578
1.446E9,10.586
1.448E9,10.595
1.450E9,10.600
1.452E9,10.605
1.454E9,10.611
1.456E9,10.618
1.458E9,10.626
1.460E9,10.635
1.462E9,10.640
1.464E9,10.643
1.466E9,10.648
1.468E9,10.654
1.470E9,10.662
1.472E9,10.671
1.474E9,10.677
1.476E9,10.678
1.478E9,10.681
1.480E9,10.687
1.482E9,10.694
1.484E9,10.704
1.486E9,10.712
1.488E9,10.710
1.490E9,10.711
1.492E9,10.716
1.494E9,10.723
1.496E9,10.733
1.498E9,10.745
1.500E9,10.740
1.502E9,10.738
1.504E9,10.741
1.506E9,10.747
1.508E9,10.758
1.510E9,10.773
1.512E9,10.767
1.514E9,10.762
1.516E9,10.763
1.518E9,10.768
1.520E9,10.779
1.522E9,10.795
1.524E9,10.792
1.526E9,10.784
1.528E9,10.782
1.530E9,10.786
1.532E9,10.796
1.534E9,10.813
1.536E9,10.815
1.538E9,10.802
1.540E9,10.797
1.542E9,10.800
1.544E9,10.809
1.546E9,10.827
1.548E9,10.836
1.550E9,10.819
1.552E9,10.810
1.554E9,10.810
1.556E9,10.819
1.558E9,10.837
1.560E9,10.856
1.562E9,10.833
1.564E9,10.821
1.566E9,10.818
1.568E9,10.825
1.570E9,10.843
1.572E9,10.871
1.574E9,10.846
1.576E9,10.829
1.578E9,10.823
1.580E9,10.829
1.582E9,10.846
1.584E9,10.874
1.586E9,10.858
1.588E9,10.836
1.590E9,10.826
1.592E9,10.829
1.594E9,10.845
1.596E9,10.873
1.598E9,10.868
1.600E9,10.841
1.602E9,10.827
1.604E9,10.828
1.606E9,10.842
1.608E9,10.869
1.610E9,10.878
1.612E9,10.845
1.614E9,10.827
1.616E9,10.824
1.618E9,10.836
1.620E9,10.862
1.622E9,10.886
1.624E9,10.848
1.626E9,10.825
1.628E9,10.818
1.630E9,10.827
1.632E9,10.853
1.634E9,10.894
1.636E9,10.849
1.638E9,10.822
1.640E9,10.811
1.642E9,10.817
1.644E9,10.841
1.646E9,10.881
1.648E9,10.850
1.650E9,10.817
1.652E9,10.802
1.654E9,10.805
1.656E9,10.826
1.658E9,10.865
1.660E9,10.851
1.662E9,10.811
1.664E9,10.791
1.666E9,10.791
1.668E9,10.809
1.670E9,10.847
1.672E9,10.851
1.674E9,10.805
1.676E9,10.780
1.678E9,10.775
1.680E9,10.791
1.682E9,10.827
1.684E9,10.851
1.686E9,10.798
1.688E9,10.767
1.690E9,10.757
1.692E9,10.770
1.694E9,10.804
1.696E9,10.852
1.698E9,10.790
1.700E9,10.752
1.702E9,10.738
1.704E9,10.747
1.706E9,10.779
1.708E9,10.835
