freq,s11,s21,s12,s22
8.540E8,-18.351,38.407,-67.853,-36.281
8.560E8,-18.196,38.410,-67.803,-36.276
8.580E8,-18.041,38.412,-67.753,-36.272
8.600E8,-17.887,38.415,-67.704,-36.269
8.620E8,-17.734,38.417,-67.654,-36.267
8.640E8,-17.582,38.419,-67.605,-36.267
8.660E8,-17.430,38.421,-67.555,-36.267
8.680E8,-17.282,38.423,-67.506,-36.268
8.700E8,-17.135,38.425,-67.458,-36.269
8.720E8,-16.990,38.427,-67.409,-36.272
8.740E8,-16.846,38.428,-67.360,-36.275
8.760E8,-16.704,38.430,-67.312,-36.280
8.780E8,-16.563,38.432,-67.264,-36.286
8.800E8,-16.425,38.433,-67.216,-36.292
8.820E8,-16.290,38.434,-67.168,-36.299
8.840E8,-16.157,38.436,-67.120,-36.306
8.860E8,-16.025,38.437,-67.073,-36.315
8.880E8,-15.895,38.438,-67.025,-36.325
8.900E8,-15.767,38.439,-66.978,-36.336
8.920E8,-15.641,38.440,-66.931,-36.347
8.940E8,-15.519,38.441,-66.884,-36.358
8.960E8,-15.398,38.442,-66.837,-36.371
8.980E8,-15.279,38.443,-66.791,-36.384
9.000E8,-15.161,38.444,-66.744,-36.398
9.020E8,-15.045,38.444,-66.698,-36.414
9.040E8,-14.931,38.445,-66.652,-36.430
9.060E8,-14.820,38.446,-66.606,-36.446
9.080E8,-14.711,38.446,-66.560,-36.463
9.100E8,-14.603,38.447,-66.514,-36.480
9.120E8,-14.497,38.447,-66.468,-36.499
9.140E8,-14.393,38.447,-66.423,-36.519
9.160E8,-14.290,38.447,-66.377,-36.540
9.180E8,-14.190,38.448,-66.332,-36.560
9.200E8,-14.092,38.448,-66.287,-36.581
9.220E8,-13.995,38.448,-66.242,-36.602
9.240E8,-13.899,38.448,-66.197,-36.625
9.260E8,-13.805,38.448,-66.152,-36.649
9.280E8,-13.712,38.448,-66.107,-36.674
9.300E8,-13.622,38.448,-66.063,-36.698
9.320E8,-13.533,38.448,-66.018,-36.723
9.340E8,-13.446,38.447,-65.974,-36.748
9.360E8,-13.360,38.447,-65.930,-36.775
9.380E8,-13.275,38.447,-65.886,-36.803
9.400E8,-13.191,38.447,-65.842,-36.831
9.420E8,-13.110,38.446,-65.798,-36.859
9.440E8,-13.030,38.446,-65.754,-36.888
9.460E8,-12.952,38.445,-65.711,-36.917
9.480E8,-12.874,38.445,-65.667,-36.947
9.500E8,-12.797,38.444,-65.624,-36.978
9.520E8,-12.722,38.444,-65.580,-37.010
9.540E8,-12.648,38.443,-65.537,-37.042
9.560E8,-12.576,38.443,-65.494,-37.073
9.580E8,-12.505,38.442,-65.451,-37.105
9.600E8,-12.435,38.441,-65.408,-37.139
9.620E8,-12.366,38.440,-65.366,-37.173
9.640E8,-12.298,38.440,-65.323,-37.208
9.660E8,-12.230,38.439,-65.280,-37.243
9.680E8,-12.166,38.438,-65.238,-37.277
9.700E8,-12.102,38.437,-65.195,-37.313
9.720E8,-12.039,38.436,-65.153,-37.349
9.740E8,-11.976,38.435,-65.111,-37.386
9.760E8,-11.914,38.434,-65.069,-37.423
9.780E8,-11.853,38.433,-65.027,-37.462
9.800E8,-11.795,38.432,-64.985,-37.499
9.820E8,-11.737,38.431,-64.943,-37.537
9.840E8,-11.680,38.430,-64.901,-37.575
9.860E8,-11.623,38.429,-64.860,-37.615
9.880E8,-11.568,38.428,-64.818,-37.655
9.900E8,-11.512,38.427,-64.777,-37.696
9.920E8,-11.459,38.426,-64.735,-37.735
9.940E8,-11.407,38.425,-64.694,-37.775
9.960E8,-11.356,38.423,-64.653,-37.816
9.980E8,-11.305,38.422,-64.611,-37.858
1.000E9,-11.254,38.421,-64.570,-37.900
1.002E9,-11.204,38.420,-64.529,-37.943
1.004E9,-11.156,38.418,-64.488,-37.985
1.006E9,-11.109,38.417,-64.448,-38.027
1.008E9,-11.062,38.416,-64.407,-38.069
1.010E9,-11.016,38.414,-64.366,-38.112
1.012E9,-10.971,38.413,-64.326,-38.156
1.014E9,-10.925,38.412,-64.285,-38.201
1.016E9,-10.881,38.410,-64.245,-38.245
1.018E9,-10.839,38.409,-64.204,-38.288
1.020E9,-10.797,38.408,-64.164,-38.332
1.022E9,-10.756,38.406,-64.124,-38.377
1.024E9,-10.714,38.405,-64.083,-38.422
1.026E9,-10.674,38.403,-64.043,-38.468
1.028E9,-10.634,38.402,-64.003,-38.514
1.030E9,-10.596,38.401,-63.963,-38.558
1.032E9,-10.558,38.399,-63.924,-38.603
1.034E9,-10.520,38.398,-63.884,-38.648
1.036E9,-10.483,38.396,-63.844,-38.694
1.038E9,-10.447,38.395,-63.804,-38.741
1.040E9,-10.410,38.393,-63.765,-38.789
1.042E9,-10.376,38.392,-63.725,-38.833
1.044E9,-10.342,38.390,-63.686,-38.879
1.046E9,-10.309,38.389,-63.646,-38.925
1.048E9,-10.275,38.387,-63.607,-38.971
1.050E9,-10.242,38.386,-63.567,-39.018
1.052E9,-10.210,38.384,-63.528,-39.066
1.054E9,-10.179,38.383,-63.489,-39.111
1.056E9,-10.149,38.381,-63.450,-39.157
1.058E9,-10.119,38.380,-63.411,-39.202
1.060E9,-10.089,38.378,-63.372,-39.249
1.062E9,-10.059,38.376,-63.333,-39.296
1.064E9,-10.030,38.375,-63.294,-39.343
1.066E9,-10.002,38.373,-63.255,-39.389
1.068E9,-9.975,38.372,-63.216,-39.434
1.070E9,-9.948,38.370,-63.178,-39.479
1.072E9,-9.922,38.369,-63.139,-39.525
1.074E9,-9.896,38.367,-63.100,-39.572
1.076E9,-9.869,38.366,-63.062,-39.619
1.078E9,-9.844,38.364,-63.023,-39.664
1.080E9,-9.821,38.363,-62.985,-39.708
1.082E9,-9.797,38.361,-62.946,-39.753
1.084E9,-9.773,38.359,-62.908,-39.798
1.086E9,-9.750,38.358,-62.870,-39.843
1.088E9,-9.727,38.356,-62.831,-39.889
1.090E9,-9.705,38.355,-62.793,-39.934
1.092E9,-9.684,38.353,-62.755,-39.977
1.094E9,-9.663,38.352,-62.717,-40.019
1.096E9,-9.642,38.350,-62.679,-40.063
1.098E9,-9.622,38.349,-62.641,-40.107
1.100E9,-9.602,38.347,-62.603,-40.151
1.102E9,-9.582,38.346,-62.565,-40.195
1.104E9,-9.563,38.344,-62.527,-40.236
1.106E9,-9.546,38.343,-62.489,-40.277
1.108E9,-9.528,38.341,-62.452,-40.318
1.110E9,-9.510,38.340,-62.414,-40.360
1.112E9,-9.492,38.338,-62.376,-40.402
1.114E9,-9.475,38.337,-62.339,-40.445
1.116E9,-9.459,38.335,-62.301,-40.484
1.118E9,-9.444,38.334,-62.263,-40.522
1.120E9,-9.428,38.332,-62.226,-40.561
1.122E9,-9.413,38.331,-62.188,-40.601
1.124E9,-9.398,38.329,-62.151,-40.641
1.126E9,-9.383,38.328,-62.114,-40.681
1.128E9,-9.369,38.326,-62.076,-40.718
1.130E9,-9.356,38.325,-62.039,-40.753
1.132E9,-9.343,38.323,-62.002,-40.790
1.134E9,-9.331,38.322,-61.964,-40.826
1.136E9,-9.318,38.321,-61.927,-40.863
1.138E9,-9.305,38.319,-61.890,-40.900
1.140E9,-9.294,38.318,-61.853,-40.935
1.142E9,-9.283,38.316,-61.816,-40.968
1.144E9,-9.273,38.315,-61.779,-41.001
1.146E9,-9.262,38.314,-61.742,-41.034
1.148E9,-9.252,38.312,-61.705,-41.068
1.150E9,-9.241,38.311,-61.668,-41.102
1.152E9,-9.232,38.309,-61.631,-41.135
1.154E9,-9.223,38.308,-61.594,-41.164
1.156E9,-9.215,38.307,-61.558,-41.193
1.158E9,-9.207,38.306,-61.521,-41.223
1.160E9,-9.199,38.304,-61.484,-41.253
1.162E9,-9.191,38.303,-61.448,-41.283
1.164E9,-9.183,38.301,-61.411,-41.314
1.166E9,-9.176,38.300,-61.374,-41.338
1.168E9,-9.170,38.299,-61.338,-41.364
1.170E9,-9.164,38.298,-61.301,-41.390
1.172E9,-9.158,38.296,-61.265,-41.416
1.174E9,-9.152,38.295,-61.228,-41.443
1.176E9,-9.146,38.294,-61.192,-41.470
1.178E9,-9.142,38.293,-61.155,-41.491
1.180E9,-9.138,38.291,-61.119,-41.512
1.182E9,-9.134,38.290,-61.083,-41.533
1.184E9,-9.130,38.289,-61.046,-41.555
1.186E9,-9.126,38.288,-61.010,-41.578
1.188E9,-9.122,38.287,-60.974,-41.600
1.190E9,-9.120,38.285,-60.938,-41.618
1.192E9,-9.118,38.284,-60.902,-41.634
1.194E9,-9.115,38.283,-60.866,-41.651
1.196E9,-9.114,38.282,-60.829,-41.669
1.198E9,-9.112,38.281,-60.793,-41.686
1.200E9,-9.110,38.280,-60.758,-41.705
1.202E9,-9.109,38.279,-60.722,-41.719
1.204E9,-9.109,38.277,-60.686,-41.730
1.206E9,-9.109,38.276,-60.650,-41.742
1.208E9,-9.109,38.275,-60.614,-41.754
1.210E9,-9.108,38.274,-60.578,-41.767
1.212E9,-9.108,38.273,-60.542,-41.780
1.214E9,-9.109,38.272,-60.506,-41.790
1.216E9,-9.111,38.271,-60.471,-41.796
1.218E9,-9.113,38.270,-60.435,-41.802
1.220E9,-9.115,38.269,-60.399,-41.809
1.222E9,-9.117,38.268,-60.364,-41.816
1.224E9,-9.118,38.267,-60.328,-41.823
1.226E9,-9.121,38.266,-60.293,-41.830
1.228E9,-9.124,38.265,-60.257,-41.829
1.230E9,-9.128,38.264,-60.221,-41.829
1.232E9,-9.132,38.263,-60.186,-41.830
1.234E9,-9.135,38.262,-60.150,-41.831
1.236E9,-9.139,38.261,-60.115,-41.832
1.238E9,-9.143,38.260,-60.080,-41.834
1.240E9,-9.148,38.259,-60.044,-41.827
1.242E9,-9.154,38.258,-60.009,-41.820
1.244E9,-9.160,38.257,-59.974,-41.814
1.246E9,-9.165,38.256,-59.938,-41.809
1.248E9,-9.171,38.255,-59.903,-41.803
1.250E9,-9.176,38.254,-59.868,-41.799
1.252E9,-9.183,38.253,-59.833,-41.786
1.254E9,-9.191,38.252,-59.798,-41.772
1.256E9,-9.198,38.252,-59.763,-41.759
1.258E9,-9.205,38.251,-59.728,-41.746
1.260E9,-9.213,38.250,-59.693,-41.733
1.262E9,-9.220,38.249,-59.658,-41.721
1.264E9,-9.228,38.248,-59.623,-41.703
1.266E9,-9.237,38.247,-59.588,-41.682
1.268E9,-9.247,38.246,-59.553,-41.660
1.270E9,-9.256,38.245,-59.518,-41.640
1.272E9,-9.265,38.245,-59.483,-41.619
1.274E9,-9.274,38.244,-59.449,-41.600
1.276E9,-9.284,38.243,-59.414,-41.575
1.278E9,-9.295,38.242,-59.379,-41.546
1.280E9,-9.305,38.241,-59.344,-41.516
1.282E9,-9.316,38.240,-59.310,-41.487
1.284E9,-9.327,38.240,-59.275,-41.459
1.286E9,-9.338,38.239,-59.241,-41.431
1.288E9,-9.349,38.238,-59.206,-41.401
1.290E9,-9.362,38.237,-59.171,-41.362
1.292E9,-9.374,38.236,-59.137,-41.325
1.294E9,-9.387,38.236,-59.102,-41.287
1.296E9,-9.400,38.235,-59.068,-41.251
1.298E9,-9.412,38.234,-59.034,-41.214
1.300E9,-9.425,38.233,-59.000,-41.178
1.302E9,-9.439,38.232,-58.965,-41.131
1.304E9,-9.453,38.231,-58.931,-41.085
1.306E9,-9.468,38.231,-58.896,-41.039
1.308E9,-9.482,38.230,-58.862,-40.994
1.310E9,-9.496,38.229,-58.828,-40.950
1.312E9,-9.511,38.228,-58.794,-40.906
1.314E9,-9.526,38.227,-58.760,-40.852
1.316E9,-9.542,38.227,-58.726,-40.798
1.318E9,-9.558,38.226,-58.692,-40.745
1.320E9,-9.574,38.225,-58.658,-40.691
1.322E9,-9.590,38.224,-58.624,-40.639
1.324E9,-9.606,38.223,-58.590,-40.587
1.326E9,-9.624,38.223,-58.556,-40.528
1.328E9,-9.641,38.222,-58.522,-40.466
1.330E9,-9.659,38.221,-58.488,-40.405
1.332E9,-9.677,38.220,-58.455,-40.345
1.334E9,-9.694,38.220,-58.421,-40.285
1.336E9,-9.712,38.219,-58.387,-40.226
1.338E9,-9.730,38.218,-58.354,-40.162
1.340E9,-9.750,38.217,-58.320,-40.093
1.342E9,-9.769,38.216,-58.286,-40.025
1.344E9,-9.788,38.216,-58.253,-39.958
1.346E9,-9.808,38.215,-58.219,-39.892
1.348E9,-9.827,38.214,-58.186,-39.826
1.350E9,-9.847,38.213,-58.153,-39.758
1.352E9,-9.868,38.212,-58.119,-39.684
1.354E9,-9.889,38.212,-58.086,-39.610
1.356E9,-9.910,38.211,-58.052,-39.537
1.358E9,-9.931,38.210,-58.019,-39.466
1.360E9,-9.952,38.209,-57.986,-39.395
1.362E9,-9.973,38.208,-57.953,-39.324
1.364E9,-9.996,38.207,-57.919,-39.244
1.366E9,-10.019,38.207,-57.886,-39.166
1.368E9,-10.041,38.206,-57.853,-39.088
1.370E9,-10.064,38.205,-57.820,-39.012
1.372E9,-10.087,38.204,-57.787,-38.937
1.374E9,-10.109,38.203,-57.754,-38.862
1.376E9,-10.133,38.202,-57.721,-38.780
1.378E9,-10.158,38.201,-57.688,-38.698
1.380E9,-10.182,38.200,-57.655,-38.617
1.382E9,-10.206,38.199,-57.623,-38.537
1.384E9,-10.231,38.198,-57.590,-38.458
1.386E9,-10.255,38.197,-57.558,-38.381
1.388E9,-10.280,38.196,-57.525,-38.298
1.390E9,-10.306,38.196,-57.492,-38.213
1.392E9,-10.332,38.195,-57.459,-38.130
1.394E9,-10.358,38.194,-57.427,-38.047
1.396E9,-10.384,38.193,-57.394,-37.966
1.398E9,-10.410,38.192,-57.362,-37.887
1.400E9,-10.437,38.191,-57.330,-37.803
1.402E9,-10.464,38.190,-57.297,-37.717
1.404E9,-10.492,38.189,-57.265,-37.632
1.406E9,-10.519,38.188,-57.232,-37.549
1.408E9,-10.547,38.187,-57.200,-37.466
1.410E9,-10.575,38.186,-57.168,-37.385
1.412E9,-10.603,38.184,-57.136,-37.302
1.414E9,-10.632,38.184,-57.104,-37.215
1.416E9,-10.661,38.183,-57.071,-37.130
1.418E9,-10.690,38.182,-57.039,-37.046
1.420E9,-10.719,38.180,-57.007,-36.963
1.422E9,-10.748,38.179,-56.976,-36.881
1.424E9,-10.778,38.178,-56.944,-36.799
1.426E9,-10.808,38.177,-56.912,-36.713
1.428E9,-10.838,38.176,-56.880,-36.628
1.430E9,-10.869,38.175,-56.848,-36.544
1.432E9,-10.900,38.174,-56.816,-36.461
1.434E9,-10.931,38.172,-56.785,-36.380
1.436E9,-10.962,38.171,-56.753,-36.299
1.438E9,-10.994,38.170,-56.722,-36.214
1.440E9,-11.025,38.169,-56.690,-36.130
1.442E9,-11.058,38.168,-56.658,-36.046
1.444E9,-11.090,38.166,-56.627,-35.964
1.446E9,-11.123,38.165,-56.596,-35.884
1.448E9,-11.156,38.163,-56.564,-35.804
1.450E9,-11.188,38.162,-56.533,-35.721
1.452E9,-11.221,38.161,-56.501,-35.639
1.454E9,-11.255,38.160,-56.470,-35.557
1.456E9,-11.289,38.158,-56.439,-35.476
1.458E9,-11.323,38.157,-56.408,-35.397
1.460E9,-11.358,38.155,-56.377,-35.319
1.462E9,-11.392,38.154,-56.346,-35.239
1.464E9,-11.425,38.153,-56.315,-35.158
1.466E9,-11.460,38.151,-56.284,-35.078
1.468E9,-11.495,38.150,-56.253,-35.000
1.470E9,-11.531,38.148,-56.222,-34.922
1.472E9,-11.568,38.147,-56.192,-34.846
1.474E9,-11.604,38.145,-56.161,-34.769
1.476E9,-11.638,38.144,-56.130,-34.690
1.478E9,-11.674,38.142,-56.099,-34.613
1.480E9,-11.710,38.141,-56.068,-34.537
1.482E9,-11.748,38.139,-56.038,-34.461
1.484E9,-11.786,38.137,-56.008,-34.387
1.486E9,-11.824,38.135,-55.977,-34.313
1.488E9,-11.859,38.134,-55.947,-34.237
1.490E9,-11.895,38.133,-55.916,-34.163
1.492E9,-11.933,38.131,-55.886,-34.089
1.494E9,-11.972,38.129,-55.855,-34.016
1.496E9,-12.012,38.127,-55.825,-33.944
1.498E9,-12.053,38.125,-55.796,-33.873
1.500E9,-12.088,38.124,-55.765,-33.800
1.502E9,-12.125,38.122,-55.735,-33.729
1.504E9,-12.163,38.121,-55.705,-33.658
1.506E9,-12.203,38.119,-55.675,-33.588
1.508E9,-12.245,38.117,-55.645,-33.518
1.510E9,-12.289,38.114,-55.615,-33.450
1.512E9,-12.325,38.113,-55.585,-33.381
1.514E9,-12.362,38.111,-55.555,-33.313
1.516E9,-12.401,38.109,-55.525,-33.245
1.518E9,-12.442,38.107,-55.496,-33.178
1.520E9,-12.485,38.105,-55.466,-33.111
1.522E9,-12.531,38.103,-55.437,-33.045
1.524E9,-12.570,38.101,-55.407,-32.980
1.526E9,-12.607,38.099,-55.377,-32.915
1.528E9,-12.647,38.097,-55.348,-32.851
1.530E9,-12.689,38.095,-55.318,-32.787
1.532E9,-12.733,38.093,-55.289,-32.723
1.534E9,-12.779,38.091,-55.260,-32.660
1.536E9,-12.821,38.088,-55.231,-32.598
1.538E9,-12.859,38.087,-55.201,-32.537
1.540E9,-12.899,38.085,-55.172,-32.476
1.542E9,-12.941,38.082,-55.143,-32.416
1.544E9,-12.986,38.080,-55.114,-32.355
1.546E9,-13.033,38.078,-55.085,-32.295
1.548E9,-13.078,38.075,-55.057,-32.236
1.550E9,-13.116,38.073,-55.027,-32.179
1.552E9,-13.157,38.071,-54.998,-32.122
1.554E9,-13.199,38.069,-54.969,-32.065
1.556E9,-13.245,38.066,-54.941,-32.008
1.558E9,-13.292,38.064,-54.912,-31.951
1.560E9,-13.340,38.061,-54.884,-31.895
1.562E9,-13.379,38.059,-54.855,-31.842
1.564E9,-13.419,38.057,-54.826,-31.789
1.566E9,-13.462,38.055,-54.797,-31.736
1.568E9,-13.508,38.052,-54.769,-31.682
1.570E9,-13.555,38.049,-54.741,-31.628
1.572E9,-13.605,38.046,-54.713,-31.574
1.574E9,-13.645,38.044,-54.684,-31.526
1.576E9,-13.685,38.042,-54.655,-31.477
1.578E9,-13.728,38.039,-54.627,-31.428
