s6,s8,s10
10.985278961284449,10.985278961284449,10.985278961284449
8.933693919544552,11.038863125168685,11.084379532346405
9.026112522356984,10.938355566916952,11.066512915307383
9.088371427463644,10.719660735304009,10.863447181418797
9.333697224735657,10.169184884988304,9.60401637219203
9.175678323149182,9.134895483341392,9.373659411241235
9.106728603535274,9.061262424606168,9.127505516886185
8.980777616400495,8.774704686098866,8.73437621226803
8.605265590368685,8.469566425581808,8.736829715413181
8.273008999923533,8.486584819084012,8.787592583623523
8.194665094123529,8.437699656251523,8.587935938100335
8.234355572334772,8.530551979088264,8.621728566244565
8.397585513901051,8.705794439090964,8.731652871660932
8.562225455570879,8.619337849233233,8.793776270185042
8.335510655042608,8.387095089809355,8.802102396198094
8.2517376956193,8.522909496004521,8.726633608185972
8.468139317727562,8.531592913091202,8.625564428850574
8.303109033061569,8.429434534468498,8.639655231667524
8.300615276611556,8.307157919701783,8.667136721720054
8.193891865167604,8.368913120226052,8.614237008335353
8.179263950954805,8.47358058705387,8.631687362413112
8.193003735080364,8.386521065149923,8.62638870964052
8.179674177873807,8.389760046550391,8.61895006482925
8.175516876730278,8.337811580951895,8.632845995934304
8.186172168747172,8.285305452374276,8.649041997705972
8.172880579123385,8.314408616987576,8.645171846282205
8.163843076257448,8.361103038457225,8.633034956358928
8.229039714815933,8.33144257608658,8.636133104416167
8.183635267022701,8.312955645006268,8.609042324064628
8.159857618152744,8.28757056150365,8.610176030511347
8.160580700812831,8.324102482164289,8.621558436809378
8.164710380863523,8.278808386120149,8.601187529904115
8.174113774841901,8.274754528683575,8.619823165906437
8.151288620450858,8.294440139276194,8.608288799986578
8.147920879790393,8.301261992648193,8.615731030552528
8.17552240404539,8.28548207573657,8.604337676893664
8.150858895812906,8.280613471235958,8.612150052181326
8.150550869172301,8.289825372247504,8.632240493618044
8.149004432741279,8.372208878143311,8.625952825941388
8.14911860146339,8.288320682926571,8.605884626888974
8.15721340749259,8.300087687479452,8.607784410635091
8.146679891642279,8.276834393121916,8.609243225866903
8.145006272971798,8.285122784087983,8.605319063010109
8.158467574767931,8.285044616462443,8.603265870773715
8.144758103685037,8.287607040781536,8.591818004542379
8.154757093571943,8.30427824927741,8.592249081784741
8.14808740955947,8.279354745677868,8.595485164760706
8.151841579988968,8.278601340928724,8.589856119753513
8.149062004172299,8.281599700943005,8.590314276289153
8.1457675756488,8.270761268773205,8.591635480607742
8.145076313563328,8.323092960592833,8.591727305141914
