freq,s11,s21,s12,s22
8.540E8,-11.906,38.606,-61.594,-27.689
8.560E8,-11.822,38.610,-61.406,-27.633
8.580E8,-11.738,38.614,-61.422,-27.572
8.600E8,-11.658,38.615,-61.805,-27.486
8.620E8,-11.578,38.622,-61.390,-27.439
8.640E8,-11.502,38.622,-62.031,-27.407
8.660E8,-11.424,38.627,-61.859,-27.387
8.680E8,-11.350,38.630,-62.252,-27.307
8.700E8,-11.268,38.634,-60.546,-27.175
8.720E8,-11.199,38.637,-61.441,-27.162
8.740E8,-11.123,38.640,-61.284,-27.106
8.760E8,-11.061,38.643,-61.486,-27.077
8.780E8,-10.969,38.646,-60.151,-26.980
8.800E8,-10.909,38.647,-60.969,-26.972
8.820E8,-10.849,38.651,-61.526,-27.000
8.840E8,-10.752,38.652,-60.169,-26.851
8.860E8,-10.703,38.655,-61.617,-26.804
8.880E8,-10.613,38.658,-59.498,-26.699
8.900E8,-10.564,38.659,-59.743,-26.668
8.920E8,-10.500,38.662,-60.898,-26.674
8.940E8,-10.425,38.665,-59.765,-26.534
8.960E8,-10.370,38.668,-60.192,-26.533
8.980E8,-10.304,38.669,-59.752,-26.436
9.000E8,-10.237,38.672,-60.068,-26.393
9.020E8,-10.191,38.673,-60.060,-26.409
9.040E8,-10.129,38.676,-60.543,-26.332
9.060E8,-10.058,38.678,-59.701,-26.204
9.080E8,-10.003,38.681,-59.332,-26.134
9.100E8,-9.956,38.683,-60.054,-26.262
9.120E8,-9.902,38.685,-60.408,-26.190
9.140E8,-9.849,38.687,-59.478,-26.095
9.160E8,-9.789,38.690,-60.486,-26.020
9.180E8,-9.739,38.691,-59.066,-25.880
9.200E8,-9.688,38.694,-61.166,-25.913
9.220E8,-9.637,38.695,-59.047,-25.846
9.240E8,-9.596,38.697,-59.279,-25.763
9.260E8,-9.547,38.699,-59.008,-25.694
9.280E8,-9.499,38.703,-59.117,-25.663
9.300E8,-9.450,38.705,-60.460,-25.642
9.320E8,-9.399,38.705,-59.145,-25.654
9.340E8,-9.357,38.708,-60.421,-25.470
9.360E8,-9.311,38.710,-59.876,-25.466
9.380E8,-9.269,38.713,-59.566,-25.465
9.400E8,-9.219,38.715,-58.458,-25.410
9.420E8,-9.180,38.717,-59.649,-25.309
9.440E8,-9.139,38.718,-59.263,-25.281
9.460E8,-9.095,38.720,-58.900,-25.230
9.480E8,-9.056,38.723,-58.935,-25.190
9.500E8,-9.020,38.724,-59.933,-25.115
9.520E8,-8.983,38.727,-59.968,-25.078
9.540E8,-8.935,38.729,-58.034,-25.068
9.560E8,-8.900,38.730,-59.920,-25.010
9.580E8,-8.868,38.732,-58.885,-24.962
9.600E8,-8.817,38.735,-59.417,-24.918
9.620E8,-8.785,38.736,-58.430,-24.852
9.640E8,-8.744,38.737,-59.327,-24.817
9.660E8,-8.719,38.739,-58.909,-24.786
9.680E8,-8.677,38.741,-57.862,-24.700
9.700E8,-8.644,38.744,-59.547,-24.722
9.720E8,-8.611,38.747,-58.048,-24.541
9.740E8,-8.581,38.750,-58.241,-24.541
9.760E8,-8.551,38.750,-58.052,-24.539
9.780E8,-8.521,38.752,-57.534,-24.463
9.800E8,-8.487,38.755,-59.676,-24.490
9.820E8,-8.457,38.756,-59.075,-24.512
9.840E8,-8.428,38.759,-58.297,-24.351
9.860E8,-8.399,38.760,-58.265,-24.361
9.880E8,-8.365,38.764,-57.405,-24.320
9.900E8,-8.348,38.766,-58.094,-24.136
9.920E8,-8.320,38.767,-57.434,-24.192
9.940E8,-8.296,38.769,-58.503,-24.236
9.960E8,-8.269,38.771,-58.177,-24.123
9.980E8,-8.237,38.774,-58.085,-24.050
1.000E9,-8.217,38.775,-58.229,-23.999
1.002E9,-8.192,38.779,-57.322,-23.986
1.004E9,-8.168,38.779,-58.328,-23.933
1.006E9,-8.147,38.783,-58.197,-23.948
1.008E9,-8.120,38.785,-57.766,-23.872
1.010E9,-8.097,38.787,-57.439,-23.809
1.012E9,-8.076,38.790,-56.722,-23.872
1.014E9,-8.060,38.790,-58.493,-23.729
1.016E9,-8.035,38.795,-57.231,-23.721
1.018E9,-8.016,38.797,-57.712,-23.683
1.020E9,-7.997,38.799,-57.134,-23.654
1.022E9,-7.981,38.802,-57.296,-23.598
1.024E9,-7.961,38.805,-57.880,-23.586
1.026E9,-7.944,38.806,-57.836,-23.547
1.028E9,-7.922,38.809,-57.826,-23.496
1.030E9,-7.909,38.812,-58.076,-23.446
1.032E9,-7.895,38.814,-57.261,-23.427
1.034E9,-7.877,38.817,-57.250,-23.410
1.036E9,-7.854,38.822,-56.928,-23.328
1.038E9,-7.840,38.822,-57.348,-23.321
1.040E9,-7.827,38.827,-57.466,-23.262
1.042E9,-7.812,38.831,-57.253,-23.228
1.044E9,-7.795,38.834,-57.798,-23.211
1.046E9,-7.780,38.837,-57.535,-23.105
1.048E9,-7.772,38.841,-56.922,-23.076
1.050E9,-7.755,38.844,-57.468,-23.087
1.052E9,-7.750,38.847,-55.979,-23.071
1.054E9,-7.731,38.849,-56.813,-22.970
1.056E9,-7.718,38.851,-56.620,-22.953
1.058E9,-7.708,38.856,-56.532,-22.855
1.060E9,-7.693,38.857,-56.962,-22.917
1.062E9,-7.689,38.861,-55.978,-22.903
1.064E9,-7.676,38.865,-56.363,-22.875
1.066E9,-7.669,38.867,-56.519,-22.824
1.068E9,-7.659,38.869,-56.612,-22.762
1.070E9,-7.656,38.872,-57.001,-22.732
1.072E9,-7.639,38.874,-56.180,-22.713
1.074E9,-7.642,38.878,-56.980,-22.626
1.076E9,-7.630,38.880,-57.040,-22.574
1.078E9,-7.619,38.885,-56.398,-22.628
1.080E9,-7.616,38.888,-56.827,-22.590
1.082E9,-7.611,38.890,-56.328,-22.585
1.084E9,-7.598,38.893,-55.559,-22.583
1.086E9,-7.597,38.897,-55.794,-22.538
1.088E9,-7.598,38.901,-56.559,-22.428
1.090E9,-7.586,38.902,-55.468,-22.471
1.092E9,-7.583,38.908,-55.720,-22.449
1.094E9,-7.583,38.910,-55.937,-22.417
1.096E9,-7.583,38.913,-56.141,-22.358
1.098E9,-7.582,38.917,-56.990,-22.298
1.100E9,-7.574,38.921,-56.292,-22.276
1.102E9,-7.570,38.924,-55.926,-22.270
1.104E9,-7.575,38.926,-55.494,-22.240
1.106E9,-7.578,38.930,-56.329,-22.208
1.108E9,-7.577,38.933,-56.610,-22.180
1.110E9,-7.576,38.937,-55.563,-22.145
1.112E9,-7.568,38.940,-55.297,-22.138
1.114E9,-7.569,38.944,-55.512,-22.117
1.116E9,-7.573,38.946,-55.961,-22.077
1.118E9,-7.572,38.950,-54.685,-22.050
1.120E9,-7.580,38.952,-55.736,-22.018
1.122E9,-7.572,38.957,-55.918,-21.979
1.124E9,-7.572,38.961,-55.160,-21.975
1.126E9,-7.582,38.964,-55.280,-21.930
1.128E9,-7.587,38.969,-55.089,-21.921
1.130E9,-7.594,38.972,-55.301,-21.899
1.132E9,-7.592,38.974,-55.596,-21.812
1.134E9,-7.600,38.977,-55.835,-21.837
1.136E9,-7.599,38.981,-55.961,-21.754
1.138E9,-7.607,38.985,-54.746,-21.786
1.140E9,-7.614,38.987,-55.175,-21.712
1.142E9,-7.625,38.992,-54.991,-21.717
1.144E9,-7.627,38.995,-55.430,-21.651
1.146E9,-7.633,38.999,-55.209,-21.633
1.148E9,-7.642,39.004,-55.462,-21.611
1.150E9,-7.652,39.006,-54.929,-21.624
1.152E9,-7.659,39.012,-54.663,-21.594
1.154E9,-7.667,39.014,-55.004,-21.537
1.156E9,-7.674,39.020,-55.114,-21.483
