x,y
0.0,0.004284868931273772
0.0008914142424144781,0.005463030722212759
0.0017828284848289563,0.006619220787471982
0.002674242727243434,0.007723751167237161
0.0035656569696579125,0.00874020785077949
0.004457071212072391,0.009635021183189567
0.005348485454486868,0.010387602447290385
0.006239899696901347,0.010993826602455148
0.007131313939315825,0.011462501028956058
0.008022728181730302,0.011809358559879076
0.008914142424144782,0.012052530450158083
0.00980555666655926,0.012210193953127946
0.010696970908973737,0.012299097883747149
0.011588385151388216,0.012333074667723995
0.012479799393802693,0.012321802396568925
0.01337121363621717,0.012270452168672324
0.01426262787863165,0.012180510256487245
0.015154042121046127,0.012051629752805253
0.016045456363460605,0.011884042569360934
0.016936870605875082,0.011680411862910137
0.017828284848289563,0.011445677627075383
0.01871969909070404,0.011184694657464238
0.01961111333311852,0.010899595374581671
0.020502527575532996,0.010589336576276117
0.021393941817947473,0.01025222592461905
0.022285356060361954,0.009889781539839698
0.02317677030277643,0.00950878025101948
0.02406818454519091,0.009119249344299632
0.024959598787605387,0.008729313081280386
0.025851013030019864,0.008341315869953658
0.02674242727243434,0.007953636791439912
0.027633841514848823,0.007567368373163306
0.0285252557572633,0.007191081635367983
0.029416669999677778,0.0068383134137178616
0.030308084242092255,0.0065206703484187905
0.031199498484506732,0.006244012956594871
0.03209091272692121,0.006010400100144648
0.03298232696933569,0.005820900151097028
0.033873741211750165,0.005674599420292915
0.03476515545416465,0.005565865779849481
0.03565656969657913,0.0054855788687448405
0.036547983938993604,0.005427143580374878
0.03743939818140808,0.00539097238478202
0.03833081242382256,0.005381896050566635
0.03922222666623704,0.005401714923159648
0.040113640908651514,0.005444388927062581
0.04100505515106599,0.005498084053633778
0.04189646939348047,0.005551511374845678
0.04278788363589495,0.005598404782325735
0.043679297878309424,0.005636905968929018
0.04457071212072391,0.005666342704956302
0.045462126363138386,0.005685390355137884
0.04635354060555286,0.005692445050087361
0.04724495484796734,0.005685903657705717
0.04813636909038182,0.005662492228524418
0.049027783332796296,0.005615126815396595
0.04991919757521077,0.005533848920847987
0.05081061181762525,0.005410021621864163
0.05170202606003973,0.005239416985812666
0.052593440302454206,0.005021004337531196
0.05348485454486868,0.004753733784376827
0.05437626878728317,0.004436264815944128
0.055267683029697645,0.00407110049632489
0.05615909727211212,0.0036692247105740887
0.0570505115145266,0.0032505089203421116
0.05794192575694108,0.002839261270005771
0.058833339999355555,0.0024579347630370244
0.05972475424177003,0.0021221937924859793
0.06061616848418451,0.001838853653118469
0.06150758272659899,0.0016066474659885562
0.062398996969013465,0.001418836633247345
0.06329041121142795,0.0012662944157181266
0.06418182545384242,0.001139974213233989
0.0650732396962569,0.0010323482835783453
0.06596465393867137,0.0009379548287321156
0.06685606818108586,0.0008533595973879164
0.06774748242350033,0.0007767410236822071
0.06863889666591481,0.0007072696182470751
0.0695303109083293,0.0006445193908358619
0.07042172515074377,0.0005881149507078981
0.07131313939315825,0.0005376477741744491
0.07220455363557272,0.000492711919438478
0.07309596787798721,0.0004528727297292227
0.07398738212040168,0.0004175448683171242
0.07487879636281616,0.00038595805852505757
0.07577021060523063,0.0003573345675504164
0.07666162484764512,0.00033115256599792624
0.07755303909005959,0.0003072573263573581
0.07844445333247407,0.0002857383340104539
0.07933586757488856,0.0002667203237683264
0.08022728181730303,0.0002502287112874796
0.08111869605971751,0.0002361000176016454
0.08201011030213198,0.00022385244659548935
0.08290152454454647,0.00021266316017055364
0.08379293878696094,0.00020170827076536365
0.08468435302937542,0.00019078827723461003
0.0855757672717899,0.00018067891041284243
0.08646718151420438,0.000172663055870664
0.08735859575661885,0.00016741891413299504
0.08825000999903333,0.00016416985944592906
