f,t,e
0.6,23.447836496299722,1.1703611493631165
0.602,23.33897265629964,1.1667257175177352
0.604,23.238623671096217,1.1631956695609178
0.606,23.133607057538764,1.1596080726120184
0.608,23.032770021920722,1.1560728764336479
0.61,22.931077569224115,1.152529153880561
0.612,22.824161375924266,1.1489210543475914
0.614,22.719554580238338,1.145344442051548
0.616,22.617557725813402,1.1418039972271143
0.618,22.515921452360093,1.1382698908200588
0.62,22.40630293915079,1.1346444727964156
0.622,22.29585238422366,1.131012969303654
0.624,22.1890436940374,1.1274371922799864
0.626,22.07972891163997,1.1238386464148586
0.628,21.97011481178309,1.1202443506857467
0.63,21.864842491675727,1.1167177207536878
0.632,21.753272975756293,1.1131288500418877
0.634,21.647726442059668,1.109632436149856
0.636,21.5435427359553,1.1061660260552377
0.638,21.443179222648673,1.1027675566752055
0.64,21.33889251754374,1.0993377753317373
0.642,21.227223569348403,1.0958358382801234
0.644,21.13336966386312,1.0925743711141376
0.646,21.042821004437396,1.0893766097089415
0.648,20.953682400512076,1.0862096042694886
0.65,20.87417911364401,1.0831840474596204
0.652,20.81360847567861,1.0804036003171191
0.654,20.75167418533208,1.0776207118879393
0.656,20.667089191772078,1.074565898839201
0.658,20.574334088923024,1.0714226747892448
0.66,20.47741369131069,1.0682565444997227
0.662,20.372395855041894,1.065000544433472
0.664,20.258539408591016,1.0616606951773235
0.666,20.147339580092634,1.0583688362379944
0.668,20.03727223116919,1.0551093555331414
0.67,19.93744855596531,1.0519907454065847
0.672,19.83210044649203,1.048822048680005
0.674,19.731244281643605,1.0457333154615294
0.676,19.629013973076145,1.042639204657255
0.678,19.522031874895884,1.0395039442530283
0.68,19.420199256803155,1.036463552857815
0.682,19.32048287638369,1.0334728297590865
0.684,19.22320145232159,1.030535424734935
0.686,19.12500910273553,1.0276188949711844
0.688,19.016227773586227,1.0246039423125235
0.69,18.924607300520513,1.0218560990841332
0.692,18.83390963508717,1.0191511356263836
0.694,18.740301804322474,1.016454256308741
0.696,18.647598815571378,1.0138186494672754
0.698,18.550766172348382,1.0111606818296217
0.7,18.452104606560365,1.0085094051216572
0.702,18.359600617943272,1.0059860675249095
0.704,18.263705009779336,1.0034642900886386
0.706,18.16395248771332,1.0009266833040407
0.708,18.06347000593698,0.9984235286900727
0.71,17.967561497173236,0.9960245638986953
0.712,17.869547095391972,0.9936281850505495
0.714,17.771487680390837,0.9912721711343498
0.716,17.666371713305168,0.988864194398465
0.718,17.565029827677066,0.9865337275098438
0.72,17.46755593834504,0.9842895537441466
