freq,noise
1.204,9.809000000000001
1.206,9.824
1.208,9.839
1.21,9.853000000000002
1.212,9.866000000000001
1.214,9.88
1.216,9.896
1.218,9.912
1.22,9.927000000000001
1.222,9.941
1.224,9.954
1.226,9.968
1.228,9.984
1.23,10.0
1.232,10.015
1.234,10.029
1.236,10.044
1.238,10.057
1.24,10.073
1.242,10.088000000000001
1.244,10.104000000000001
1.246,10.118
1.248,10.133000000000001
1.25,10.147
1.252,10.162
1.254,10.177000000000001
1.256,10.192
1.258,10.207
1.26,10.222000000000001
1.262,10.237
1.264,10.251000000000001
1.266,10.266
1.268,10.281
1.27,10.295
1.272,10.31
1.274,10.325000000000001
1.276,10.34
1.278,10.354000000000001
1.28,10.368
1.282,10.383000000000001
1.284,10.398000000000001
1.286,10.413
1.288,10.427000000000001
1.29,10.441
1.292,10.455
1.294,10.469000000000001
1.296,10.484
1.298,10.498000000000001
1.3,10.513
1.302,10.527000000000001
1.304,10.540000000000001
1.306,10.554
1.308,10.568000000000001
1.31,10.583
1.312,10.597000000000001
1.314,10.611
1.316,10.624
1.318,10.637
1.32,10.651000000000002
1.322,10.665000000000001
1.324,10.679
1.326,10.692
1.328,10.705
1.33,10.718
1.332,10.731
1.334,10.744000000000002
1.336,10.758000000000001
1.338,10.771
1.34,10.784
1.342,10.796000000000001
1.344,10.809000000000001
1.346,10.821000000000002
1.348,10.834000000000001
1.35,10.847000000000001
1.352,10.859
1.354,10.871
1.356,10.883000000000001
1.358,10.896
1.36,10.908000000000001
1.362,10.92
1.364,10.932
1.366,10.943000000000001
1.368,10.955
1.37,10.966000000000001
1.372,10.978000000000002
1.374,10.99
1.376,11.001000000000001
1.378,11.012
1.38,11.023000000000001
1.382,11.034
1.384,11.044
1.386,11.055000000000001
1.388,11.066
1.39,11.077
1.392,11.087000000000002
1.394,11.097000000000001
1.396,11.107000000000001
1.398,11.117
1.4,11.127
1.402,11.137
1.404,11.147
1.406,11.156
1.408,11.166
1.41,11.175
1.412,11.185
1.414,11.194
1.416,11.202
1.418,11.211
1.42,11.22
1.422,11.229000000000001
1.424,11.238000000000001
1.426,11.246
1.428,11.253
1.43,11.261000000000001
1.432,11.269
1.434,11.278
1.436,11.287
1.438,11.293000000000001
1.44,11.3
1.442,11.307
1.444,11.314
1.446,11.323
1.448,11.332
1.45,11.337000000000002
1.452,11.342
1.454,11.347000000000001
1.456,11.354000000000001
1.458,11.362
1.46,11.371
1.462,11.376000000000001
1.464,11.379000000000001
1.466,11.383000000000001
1.468,11.389000000000001
1.47,11.397
1.472,11.406
1.474,11.412
1.476,11.412
1.478,11.414000000000001
1.48,11.419
1.482,11.426
1.484,11.435
1.486,11.443000000000001
1.488,11.440000000000001
1.49,11.440000000000001
1.492,11.444
1.494,11.450000000000001
1.496,11.46
1.498,11.471
1.5,11.465
1.502,11.462000000000002
1.504,11.463000000000001
1.506,11.469000000000001
1.508,11.479000000000001
1.51,11.493
1.512,11.485000000000001
1.514,11.479000000000001
1.516,11.479000000000001
1.518,11.483
1.52,11.492
1.522,11.507000000000001
1.524,11.503
1.526,11.493
1.528,11.489
1.53,11.492
1.532,11.501000000000001
1.534,11.517000000000001
1.536,11.517000000000001
1.538,11.503
1.54,11.496
1.542,11.497
1.544,11.505
1.546,11.521
1.548,11.529
1.55,11.510000000000002
1.552,11.499
1.554,11.497
1.556,11.505
1.558,11.521
1.56,11.539000000000001
1.562,11.514000000000001
1.564,11.499
1.566,11.494000000000002
1.568,11.5
1.57,11.516
1.572,11.542000000000002
1.574,11.515
1.576,11.496
1.578,11.488000000000001
1.58,11.492
1.582,11.507000000000001
1.584,11.533000000000001
1.586,11.515
1.588,11.491000000000001
1.59,11.479000000000001
1.592,11.48
1.594,11.494000000000002
1.596,11.520000000000001
1.598,11.513
1.6,11.484
1.602,11.468
1.604,11.466000000000001
1.606,11.478000000000002
1.608,11.504000000000001
1.61,11.510000000000002
1.612,11.475000000000001
1.614,11.454
1.616,11.449
1.618,11.459000000000001
1.62,11.484
1.622,11.505
1.624,11.464
1.626,11.439
1.628,11.430000000000001
1.63,11.438
1.632,11.461
1.634,11.5
1.636,11.453000000000001
1.638,11.423
1.64,11.41
1.642,11.414000000000001
1.644,11.435
1.646,11.474
1.648,11.441
1.65,11.406
1.652,11.388
1.654,11.389000000000001
1.656,11.408000000000001
1.658,11.445
1.66,11.428
1.662,11.387
1.664,11.365
1.666,11.362
1.668,11.379000000000001
1.67,11.414000000000001
1.672,11.416
1.674,11.368
1.676,11.341000000000001
1.678,11.334000000000001
1.68,11.348
1.682,11.382000000000001
1.684,11.404
1.686,11.349
1.688,11.316
1.69,11.305000000000001
1.692,11.315000000000001
1.694,11.348
1.696,11.393
1.698,11.33
1.7,11.290000000000001
1.702,11.274000000000001
1.704,11.281
1.706,11.312000000000001
1.708,11.365
1.71,11.312000000000001
1.712,11.265
1.714,11.243
1.716,11.246
1.718,11.275
1.72,11.328000000000001
1.722,11.296000000000001
1.724,11.241000000000001
1.726,11.212000000000002
1.728,11.211
1.73,11.237
1.732,11.290000000000001
1.734,11.283000000000001
1.736,11.218
1.738,11.183
1.74,11.176
1.742,11.199
1.744,11.251000000000001
1.746,11.274000000000001
1.748,11.200000000000001
1.75,11.157
1.752,11.145000000000001
1.754,11.164000000000001
1.756,11.213000000000001
1.758,11.269
1.76,11.187000000000001
1.762,11.137
1.764,11.119000000000002
1.766,11.133000000000001
1.768,11.178
1.77,11.255
1.772,11.180000000000001
1.774,11.126000000000001
1.776,11.102
1.778,11.110000000000001
1.78,11.149000000000001
1.782,11.219000000000001
1.784,11.180000000000001
1.786,11.124
1.788,11.097000000000001
1.79,11.099
1.792,11.13
1.794,11.190000000000001
1.796,11.184000000000001
1.798,11.13
1.8,11.102
1.802,11.099
1.804,11.121
1.806,11.169
1.808,11.188
1.81,11.142000000000001
1.812,11.115
1.814,11.109
1.816,11.123000000000001
1.818,11.157
1.82,11.191
1.822,11.153
1.824,11.13
1.826,11.123000000000001
1.828,11.13
1.83,11.153
1.832,11.192
1.834,11.164000000000001
1.836,11.145000000000001
1.838,11.138
1.84,11.141
1.842,11.156
1.844,11.182
1.846,11.172
1.848,11.158000000000001
1.85,11.152000000000001
1.852,11.153
1.854,11.162
1.856,11.179
1.858,11.180000000000001
1.86,11.171000000000001
1.862,11.167000000000002
1.864,11.167000000000002
1.866,11.173
1.868,11.183
1.87,11.189
1.872,11.184000000000001
1.874,11.182
1.876,11.183
1.878,11.187000000000001
1.88,11.193000000000001
1.882,11.200000000000001
1.884,11.199
1.886,11.199
1.888,11.201
1.89,11.204
1.892,11.208
1.894,11.214
1.896,11.217
1.898,11.22
1.9,11.223
1.902,11.226
1.904,11.229000000000001
1.906,11.232000000000001
1.908,11.238000000000001
1.91,11.243
1.912,11.248000000000001
1.914,11.251000000000001
1.916,11.254000000000001
1.918,11.256
1.92,11.263
1.922,11.270000000000001
1.924,11.277000000000001
1.926,11.281
1.928,11.284
1.93,11.286000000000001
1.932,11.292000000000002
